medal_type,medal_code,medal_date,name,country_code,gender,discipline,event,event_type,url_event,code
Silver Medal,2,2024-08-05,SPAIN,ESP,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000100--,BK3WTEAM3---ESP01
Bronze Medal,3,2024-08-05,UNITED STATES,USA,W,3x3 Basketball,Women,HTEAM,/en/paris-2024/results/3x3-basketball/women/fnl-000200--,BK3WTEAM3---USA01
Gold Medal,1,2024-08-05,OKA SHINNOSUKE,JPN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1919480
Silver Medal,2,2024-08-05,ANGEL BARAJAS,COL,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1935685
Bronze Medal,3,2024-08-05,ZHANG BOHENG,CHN,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1918864
Bronze Medal,3,2024-08-05,TANG CHIA-HUNG,TPE,M,Artistic Gymnastics,Men's Horizontal Bar,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--,1878037
Gold Medal,1,2024-08-05,ZOU JINGYUAN,CHN,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1918865
Silver Medal,2,2024-08-05,ILLIA KOVTUN,UKR,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1897555
Bronze Medal,3,2024-08-05,OKA SHINNOSUKE,JPN,M,Artistic Gymnastics,Men's Parallel Bars,ATH,/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--,1919480
Gold Medal,1,2024-08-05,ALICE D'AMATO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1551061
Silver Medal,2,2024-08-05,ZHOU YAQIN,CHN,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1918881
Bronze Medal,3,2024-08-05,MANILA ESPOSITO,ITA,W,Artistic Gymnastics,Women's Balance Beam,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-balance-beam/fnl-000001--,1560762
Gold Medal,1,2024-08-05,REBECA ANDRADE,BRA,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1953634
Silver Medal,2,2024-08-05,SIMONE BILES,USA,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1959861
Bronze Medal,3,2024-08-05,ANA BARBOSU,ROU,W,Artistic Gymnastics,Women's Floor Exercise,ATH,/en/paris-2024/results/artistic-gymnastics/women-s-floor-exercise/fnl-000001--,1550170
Gold Medal,1,2024-08-05,ARMAND DUPLANTIS,SWE,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1569203
Silver Medal,2,2024-08-05,SAM KENDRICKS,USA,M,Athletics,Men's Pole Vault,ATH,/en/paris-2024/results/athletics/men-s-pole-vault/fnl-000100--,1960178
